case,date,arrivals,capacity,opening_backlog,completed_on_time,completed_late,closing_backlog,past_due_at_close
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-08,0,0,3895,0,0,3895,3895
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-09,0,1088,3895,0,1088,2807,2807
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-10,3,1088,2807,0,1088,1722,1722
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-11,319,1088,1722,0,1088,953,953
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-12,1938,1088,953,135,953,1803,1803
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-13,1900,1088,1803,0,1088,2615,2615
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-14,0,0,2615,0,0,2615,2615
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-15,0,0,2615,0,0,2615,2615
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-16,1273,1088,2615,0,1088,2800,2800
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-17,720,1088,2800,0,1088,2432,2432
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-18,815,1088,2432,0,1088,2159,2159
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-19,531,1088,2159,0,1088,1602,1602
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-20,0,1088,1602,0,1088,514,514
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-21,0,0,514,0,0,514,514
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-22,0,0,514,0,0,514,514
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-23,0,1088,514,0,514,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-24,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-25,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-26,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-27,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-28,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-29,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-30,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-10-31,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-01,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-02,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-03,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-04,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-05,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-06,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-07,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-08,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-09,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-10,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-11,0,0,0,0,0,0,0
