case,basis,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days
deduplicated_sensitivity_w5_a2_r50_d1,deduplicated_sensitivity,5,2,3,50.0,1,215460,3124,212336,0,0,0.01449921099043906,False,12786,1774507
deduplicated_sensitivity_w5_a2_r50_d2,deduplicated_sensitivity,5,2,3,50.0,2,215460,19332,196128,0,0,0.08972431077694236,False,12786,1774507
deduplicated_sensitivity_w6_a0_r30_d1,deduplicated_sensitivity,6,0,6,30.0,1,215460,86007,129453,0,0,0.39917850181008074,False,4686,265470
deduplicated_sensitivity_w6_a0_r30_d2,deduplicated_sensitivity,6,0,6,30.0,2,215460,164243,51217,0,0,0.7622899842198088,False,4686,265470
deduplicated_sensitivity_w6_a0_r40_d1,deduplicated_sensitivity,6,0,6,40.0,1,215460,168194,47266,0,0,0.7806274946625824,False,4278,71957
deduplicated_sensitivity_w6_a0_r40_d2,deduplicated_sensitivity,6,0,6,40.0,2,215460,207265,8195,0,0,0.9619650979300102,True,4278,71957
deduplicated_sensitivity_w6_a0_r50_d1,deduplicated_sensitivity,6,0,6,50.0,1,215460,192774,22686,0,0,0.8947089947089947,False,3870,30205
deduplicated_sensitivity_w6_a0_r50_d2,deduplicated_sensitivity,6,0,6,50.0,2,215460,211844,3616,0,0,0.9832173025155482,True,3870,30205
deduplicated_sensitivity_w6_a1_r30_d1,deduplicated_sensitivity,6,1,5,30.0,1,215460,3124,212336,0,0,0.01449921099043906,False,12786,1774507
deduplicated_sensitivity_w6_a1_r30_d2,deduplicated_sensitivity,6,1,5,30.0,2,215460,19332,196128,0,0,0.08972431077694236,False,12786,1774507
deduplicated_sensitivity_w6_a1_r40_d1,deduplicated_sensitivity,6,1,5,40.0,1,215460,124089,91371,0,0,0.575925925925926,False,4550,160617
deduplicated_sensitivity_w6_a1_r40_d2,deduplicated_sensitivity,6,1,5,40.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617
deduplicated_sensitivity_w6_a1_r50_d1,deduplicated_sensitivity,6,1,5,50.0,1,215460,175538,39922,0,0,0.8147127076951638,False,4210,59773
deduplicated_sensitivity_w6_a1_r50_d2,deduplicated_sensitivity,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773
