case_key,period,policy,basis,lead_days,demand_start,demand_end,cost_end,target_share,evidence,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,total_cost
full|extra0_ot0_temps4|retained|40.0|0|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,228195,224740,3455,0,0,0.9848594403908938,True,4279,71123,244896.0
full|extra0_ot0_temps4|retained|40.0|0|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937,238656.0
full|extra0_ot0_temps4|retained|40.0|1|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,228195,221846,6349,0,0,0.9721773044983457,True,4551,129790,253536.0
full|extra0_ot0_temps4|retained|40.0|1|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,228195,193271,34924,0,0,0.8469554547645654,False,4551,217856,239376.0
full|extra0_ot0_temps4|retained|40.0|2|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,228195,214640,13555,0,0,0.9405990490589189,False,4823,199025,276816.0
full|extra0_ot0_temps4|retained|40.0|2|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,228195,79030,149165,0,0,0.34632660663029424,False,5847,574305,254256.0
full|extra0_ot0_temps4|retained|50.0|0|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,228195,227273,922,0,0,0.9959595959595959,True,3871,36240,241056.0
full|extra0_ot0_temps4|retained|50.0|0|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504,238656.0
full|extra0_ot0_temps4|retained|50.0|1|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,228195,225802,2393,0,0,0.9895133548061965,True,4211,60875,243216.0
full|extra0_ot0_temps4|retained|50.0|1|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,228195,220533,7662,0,0,0.966423453625189,True,4211,77716,238656.0
